ds,y
2026-04-20,287.75
2026-04-21,282.65
2026-04-22,289.15
2026-04-23,309.8
2026-04-24,294.9
2026-04-26,304.1
2026-04-27,306.4
2026-04-28,305.25
2026-04-29,300.9
2026-04-30,302.0
2026-05-01,286.4
2026-05-03,302.2
2026-05-04,305.85
2026-05-05,299.45
2026-05-06,291.05
2026-05-07,289.7
2026-05-10,298.6
2026-05-11,294.8
2026-05-12,296.25
2026-05-13,294.45
2026-05-14,284.6
2026-05-17,276.2
2026-05-18,270.15
2026-05-19,268.3
2026-05-20,273.4
2026-05-21,272.35
2026-05-25,274.0
2026-05-26,269.85
2026-05-27,274.25
2026-05-28,265.6
2026-05-31,260.6
2026-06-01,259.2
2026-06-02,253.1
2026-06-03,247.15
2026-06-04,246.5
2026-06-07,245.9
2026-06-08,244.4
2026-06-09,248.4
2026-06-10,253.95
2026-06-11,257.2
2026-06-14,262.95
2026-06-15,277.25
2026-06-16,277.85
2026-06-17,275.1
2026-06-21,277.0
2026-06-22,287.95
2026-06-23,291.55
2026-06-24,288.8
2026-06-25,286.75
2026-06-28,291.1
2026-06-29,302.15
